year,building,kwh,gas_cuft
2016,Benedict,20566.0,0.0
2017,Benedict,23514.0,0.0
2018,Benedict,22630.0,0.0
2019,Benedict,23589.0,0.0
2020,Benedict,20448.0,0.0
2021,Benedict,26670.0,0.0
2022,Benedict,26387.0,0.0
2023,Benedict,29140.0,0.0
2024,Benedict,32793.0,0.0
2025,Benedict,32809.0,0.0
2003,Bristol,0.0,0.0
2004,Bristol,417380.0,0.0
2005,Bristol,433662.0,0.0
2006,Bristol,0.0,0.0
2007,Bristol,372663.0,0.0
2008,Bristol,335591.425,0.0
2009,Bristol,328060.0,0.0
2010,Bristol,276250.0,0.0
2011,Bristol,276170.0,0.0
2012,Bristol,276140.0,0.0
2013,Bristol,274000.0,0.0
2014,Bristol,260430.0,0.0
2015,Bristol Center,262692.0,0.0
2016,Bristol Center,265938.0,0.0
2017,Bristol Center,262744.0,0.0
2018,Bristol Center,231735.527,0.0
2019,Bristol Center,246797.801,0.0
2020,Bristol Center,256052.0,0.0
2021,Bristol Center,254874.0,0.0
2022,Bristol Center,250420.0,0.0
2023,Bristol Center,245158.0,0.0
2024,Bristol Center,266449.502,0.0
2025,Bristol Center,270742.0,0.0
2003,Bundy D H,0.0,0.0
2004,Bundy D H,63840.0,0.0
2005,Bundy D H,59360.0,0.0
2006,Bundy D H,0.0,0.0
2007,Bundy D H,64800.0,0.0
2008,Bundy D H,65840.0,0.0
2009,Bundy D H,65760.0,0.0
2010,Bundy D H,63520.0,0.0
2011,Bundy D H,62880.0,0.0
2012,Bundy D H,63280.0,0.0
2013,Bundy D H,64320.0,0.0
2014,Bundy D H,60080.0,0.0
2015,Bundy D H,58000.0,0.0
2016,Bundy D H,53120.0,0.0
2017,Bundy D H,79040.0,0.0
2018,Bundy D H,133840.0,0.0
2019,Bundy D H,145440.0,0.0
2020,Bundy D H,149360.0,0.0
2021,Bundy D H,110560.0,0.0
2022,Bundy D H,94240.0,0.0
2023,Bundy D H,99520.0,0.0
2024,Bundy D H,89360.0,0.0
2025,Bundy D H,139880.0,0.0
2003,Bundy East,0.0,0.0
2004,Bundy East,499840.0,0.0
2005,Bundy East,511520.0,0.0
2006,Bundy East,0.0,0.0
2007,Bundy East,454240.0,0.0
2008,Bundy East,517600.0,0.0
2009,Bundy East,457760.0,0.0
2010,Bundy East,389280.0,0.0
2011,Bundy East,337280.0,0.0
2012,Bundy East,320000.0,0.0
2013,Bundy East,359200.0,0.0
2014,Bundy East,337200.0,0.0
2015,Bundy East,346400.0,0.0
2016,Bundy East,356860.0,0.0
2017,Bundy East,413040.0,0.0
2018,Bundy East,487360.0,0.0
2019,Bundy East,476640.0,0.0
2020,Bundy East,528800.0,0.0
2021,Bundy East,476160.0,0.0
2022,Bundy East,496160.0,0.0
2023,Bundy East,490729.0,0.0
2024,Bundy East,446240.0,0.0
2025,Bundy East,525120.0,0.0
2003,Bundy West,0.0,0.0
2004,Bundy West,440000.0,0.0
2005,Bundy West,445120.0,0.0
2006,Bundy West,0.0,0.0
2007,Bundy West,408800.0,0.0
2008,Bundy West,409260.0,0.0
2009,Bundy West,413920.0,0.0
2010,Bundy West,333929.0,0.0
2011,Bundy West,340440.0,0.0
2012,Bundy West,290720.0,0.0
2013,Bundy West,315840.0,0.0
2014,Bundy West,309280.0,0.0
2015,Bundy West,343840.0,0.0
2016,Bundy West,322560.0,0.0
2017,Bundy West,343680.0,0.0
2018,Bundy West,182400.0,0.0
2019,Bundy West,185600.0,0.0
2020,Bundy West,129260.0,0.0
2021,Bundy West,68160.0,0.0
2022,Bundy West,162080.0,0.0
2023,Bundy West,70880.0,0.0
2024,Bundy West,158720.0,0.0
2025,Bundy West,156320.0,0.0
2003,Burke Library,0.0,0.0
2004,Burke Library,3304320.0,0.0
2005,Burke Library,3024000.0,0.0
2006,Burke Library,0.0,0.0
2007,Burke Library,3304320.0,0.0
2008,Burke Library,2444160.0,0.0
2009,Burke Library,2227200.0,0.0
2010,Burke Library,2092800.0,0.0
2011,Burke Library,2071680.0,0.0
2012,Burke Library,2103160.0,0.0
2013,Burke Library,2244480.0,0.0
2014,Burke Library,1875840.0,0.0
2015,Burke Library,1829760.0,0.0
2016,Burke Library,1933440.0,0.0
2017,Burke Library,1958400.0,0.0
2018,Burke Library,2225280.0,0.0
2019,Burke Library,2405760.0,0.0
2020,Burke Library,1957440.0,0.0
2021,Burke Library,2085120.0,0.0
2022,Burke Library,1971840.0,0.0
2023,Burke Library,1985280.0,0.0
2024,Burke Library,1875840.0,0.0
2025,Burke Library,1964160.0,0.0
2003,Buttrick,0.0,0.0
2004,Buttrick,0.0,0.0
2005,Buttrick,0.0,0.0
2006,Buttrick,0.0,0.0
2007,Buttrick,0.0,0.0
2008,Buttrick,0.0,834290.0
2009,Buttrick,0.0,822696.0
2010,Buttrick,0.0,694053.0
2011,Buttrick,0.0,755952.0
2012,Buttrick,0.0,627558.0
2013,Buttrick,0.0,707757.0
2014,Buttrick,0.0,656432.0
2015,Buttrick,0.0,685727.0
2016,Buttrick,0.0,642104.0
2017,Buttrick,0.0,740963.0
2018,Buttrick,0.0,1750582.0
2019,Buttrick,0.0,791862.0
2020,Buttrick,0.0,2269901.0
2021,Buttrick,0.0,788727.0
2022,Buttrick,0.0,717552.0
2023,Buttrick,0.0,442439.0
2024,Buttrick,0.0,51058.0
2025,Buttrick,0.0,66521.0
2003,C.A. Johnson,0.0,0.0
2004,C.A. Johnson,493459.0,0.0
2005,C.A. Johnson,0.0,0.0
2006,C.A. Johnson,0.0,0.0
2007,C.A. Johnson,468142.0,0.0
2008,C.A. Johnson,448308.0,2215440.0
2009,C.A. Johnson,398614.0,2356690.0
2010,C.A. Johnson,394579.0,2000090.0
2011,C.A. Johnson,0.0,2155796.0
2012,C.A. Johnson,0.0,2223763.0
2013,C.A. Johnson,0.0,2628375.0
2014,C.A. Johnson,0.0,3099855.0
2015,C.A. Johnson,0.0,4000864.0
2016,C.A. Johnson,0.0,2038330.0
2017,C.A. Johnson,27960.0,1594165.1
2018,C.A. Johnson,43960.0,2193367.0
2019,C.A. Johnson,0.0,2493151.0
2021,C.A. Johnson,0.0,3113868.0
2022,C.A. Johnson,0.0,2509349.0
2023,C.A. Johnson,0.0,2579407.0
2024,C.A. Johnson,0.0,2667169.0
2025,C.A. Johnson,0.0,2598240.0
2003,Carnegie,0.0,0.0
2004,Carnegie,0.0,0.0
2005,Carnegie,0.0,0.0
2006,Carnegie,0.0,0.0
2007,Carnegie,0.0,0.0
2008,Carnegie,0.0,0.0
2009,Carnegie,0.0,0.0
2010,Carnegie,0.0,0.0
2011,Carnegie,0.0,0.0
2012,Carnegie,0.0,0.0
2013,Carnegie,0.0,0.0
2014,Carnegie,0.0,0.0
2015,Carnegie,0.0,0.0
2016,Carnegie,0.0,0.0
2017,Carnegie,0.0,0.0
2018,Carnegie,0.0,0.0
2019,Carnegie,0.0,0.0
2021,Carnegie,0.0,0.0
2022,Carnegie,0.0,0.0
2023,Carnegie,0.0,0.0
2024,Carnegie,0.0,0.0
2025,Carnegie,0.0,0.0
2003,Chapel,0.0,0.0
2004,Chapel,23874.0,0.0
2005,Chapel,21936.0,0.0
2006,Chapel,0.0,0.0
2007,Chapel,22464.0,0.0
2008,Chapel,23764.0,0.0
2009,Chapel,21972.0,0.0
2010,Chapel,22914.0,0.0
2011,Chapel,31042.0,0.0
2012,Chapel,25542.0,0.0
2013,Chapel,22992.0,0.0
2014,Chapel,18450.0,0.0
2015,Chapel,18042.0,0.0
2016,Chapel,15720.0,0.0
2017,Chapel,17640.0,0.0
2018,Chapel,18414.0,0.0
2019,Chapel,21035.0,0.0
2020,Chapel,18972.0,0.0
2021,Chapel,15936.0,0.0
2022,Chapel,18330.0,0.0
2023,Chapel,17808.0,0.0
2024,Chapel,18942.0,0.0
2025,Chapel,17724.0,0.0
2003,Chemistry,0.0,0.0
2004,Chemistry,440600.0,0.0
2005,Chemistry,0.0,0.0
2006,Chemistry,0.0,0.0
2007,Chemistry,0.0,0.0
2008,Chemistry,0.0,0.0
2009,Chemistry,0.0,0.0
2005,Commons,0.0,0.0
2006,Commons,0.0,0.0
2007,Commons,637352.0,0.0
2008,Commons,1400540.22,0.0
2009,Commons,594670.0,2859310.0
2010,Commons,589800.0,1530020.0
2011,Commons,616430.0,8697470.0
2012,Commons,625130.0,4303370.0
2013,Commons,649190.0,5011230.0
2014,Commons,587640.0,4552720.0
2015,Commons,605970.0,5633990.0
2016,Commons,593370.0,5155800.0
2017,Commons,596460.0,5691300.0
2018,Commons,597560.0,5425440.0
2019,Commons,616550.0,5847640.0
